EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Beschreibung_fett;Warum muss der Zählerschrank getauscht werden? ;;;
;Seit 2017 gibt es verschärfte Regularien seitens der örtlichen Energieversorger. Vor 2017 errichtete Zählerschränke erfüllen die notwendigen Anforderungen in der Regel nicht, weshalb der Zählerschrank im Normalfall immer getauscht werden muss.;;;
Beschreibung_fett;"Beachten Sie bitte hierzu die ""Zählerschrank Checkliste"" im Downloadbereich.";;;
;;;;
Untertitel;Montage und Lieferung Zählerschrank EFH Standard (110x55cm) mit einem Zählerplatz ohne Bestückung und ohne örtliche Veränderung;;;
Beschreibung_fett;Materialien:;;;
;- Zählerschrank 110x55 cm ohne Bestückung;;;
;- Klein- und Verdrahtungsmaterial;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss des neuen Zählerschranks;;;
;- Wiederanschluss der alten Zähleranlage;;;
Beschreibung_fett;Nicht enthalten:;;;
;- Örtliche Veränderung sowie damit verbundene Leitungsverlängerungen;;;
;;;;
;Zählerschrank EFH Standard (110x55cm) mit einem Zählerplatz ohne Bestückung;€/Stk.;1573,69;11
;;;;
Untertitel;Montage und Lieferung Zählerschrank EFH Standard (110x55cm) mit einem Zählerplatz mit Bestückung ohne örtliche Veränderung;;;
Beschreibung_fett;Materialien:;;;
;- Zählerschrank 110x55 cm inkl. kompletter Bestückung;;;
;- Klein- und Verdrahtungsmaterial;;;
Beschreibung_fett;Leistungen:;;;
;- Demontage Bestandsanlage;;;
;- Entsorgung der demontierten Komponenten;;;
;- Montage und Anschluss des neuen Zählerschranks;;;
;- Überprüfung und Zuordnung aufgelegter Stromkreise;;;
;- Erstellung einer Stromkreisliste und Beschriftungen des Zählerschrankes;;;
Beschreibung_fett;Nicht enthalten:;;;
;- Örtliche Veränderung sowie damit verbundene Leitungsverlängerungen;;;
;;;;
;Zählerschrank EFH Standard (110x55cm) mit einem Zählerplatz mit Bestückung;€/Stk.;2304,99;12
;;;;
Untertitel;Montage und Lieferung Zählerschrank EFH Standard (110x80cm) mit zwei Zählerplätzen ohne Bestückung ohne örtliche Veränderung;;;
Beschreibung_fett;Materialien:;;;
;- Zählerschrank 110x80 cm ohne Bestückung;;;
;- Klein- und Verdrahtungsmaterial;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss des neuen Zählerschranks;;;
;- Wiederanschluss der alten Zähleranlage;;;
Beschreibung_fett;Nicht enthalten:;;;
;- Örtliche Veränderung sowie damit verbundene Leitungsverlängerungen;;;
;;;;
;Zählerschrank EFH Standard (110x80cm) mit zwei Zählerplätzen ohne Bestückung;€/Stk.;1969,4;13
;;;;
Untertitel;Montage und Lieferung Zählerschrank EFH Standard (110x80cm) mit zwei Zählerplätzen mit Bestückung ohne örtliche Veränderung;;;
Beschreibung_fett;Materialien:;;;
;- Zählerschrank 110x80 cm inkl. kompletter Bestückung;;;
;- Klein- und Verdrahtungsmaterial;;;
Beschreibung_fett;Leistungen:;;;
;- Demontage Bestandsanlage;;;
;- Entsorgung der demontierten Komponenten;;;
;- Montage und Anschluss des neuen Zählerschranks;;;
;- Überprüfung und Zuordnung aufgelegter Stromkreise;;;
;- Erstellung einer Stromkreisliste und Beschriftungen des Zählerschrankes;;;
Beschreibung_fett;Nicht enthalten:;;;
;- Örtliche Veränderung sowie damit verbundene Leitungsverlängerungen;;;
;;;;
;Zählerschrank EFH Standard (110x80cm) mit zwei Zählerplätzen mit Bestückung;€/Stk.;2609,53;14
