EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Titel;BATTERIESPEICHER Fronius;;;
Untertitel;Montage und Lieferung Fronius Batteriespeicher;;;
Beschreibung_fett;Materialien:;;;
;- Fronius Batteriespeicher Reserva;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Speicher;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;;;;
;6,3 kWh - BATTERIESPEICHER Fronius;€/Stk.;3658,66;24
;9,5 kWh - BATTERIESPEICHER Fronius;€/Stk.;4694,16;
;12,6 kWh - BATTERIESPEICHER Fronius;€/Stk.;5729,66;
;15,8 kWh - BATTERIESPEICHER Fronius;€/Stk.;6765,16;
