EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;GERÜST;;
Zwischentitel;Wann wird ein Gerüst benötigt? ;;
;Ein Gerüst muss ab einer Absturzhöhe von 2,00 m gestellt werden. Ob mit einer Absturzsicherung oder anderweitigen Maßnahmen gearbeitet werden kann, entscheidet unsere Bauleitung vor Ort. Im ersten Schritt sollte daher immer ein Gerüst berücksichtigt werden.;;
Untertitel;Einrüstung (einfach - Südausrichtung);;
Beschreibung_fett;Leistungen:;;
;- Aufbau Gerüst einseitig (Südausrichtung);;
;- Traufhöhe bis max. 3 m;;
;;;
;Einrüstung (einfach - Südausrichtung);€/Stk.;1320
;;;
Untertitel;Einrüstung (doppelt - Ost- und Westausrichtung);;
Beschreibung_fett;Leistungen:;;
;- Aufbau Gerüst beidseitig (Ost- und Westausrichtung);;
;- Traufhöhe bis max. 3 m;;
;;;
;Einrüstung (doppelt - Ost- und Westausrichtung;€/Stk.;1980
